Gatenavn,Kommentar,Dato,Tidpunkt,lat,lon
BRANDTS GATE,Wdm Thranes Gt – Bjerregaards Gate,24.04.2023,07.00-19.00,59.9265959,10.7448066
BRANDTS GATE,Geitmyrsveien – Fougstads Gate,25.04.2023,07.00-19.00,59.9265959,10.7448066
BRANDTS GATE,Trapp V/Hermann Foss Gate,25.04.2023,07.00-19.00,59.9265959,10.7448066
BRANNFJELLVEIEN,Vårveien – Ekebergveien,19.04.2023,07.00-19.00,59.8953469,10.7863515
BRANNFJELLVEIEN,Olleveien – Sandstuveien,20.04.2023,07.00-19.00,59.8953469,10.7863515
BRANNVAKTVEIEN,Hele,04.05.2023,07.00-19.00,59.9531825,10.7896036
BRANTENBORGVEIEN,Hele,16.05.2023,07.00-19.00,59.9521147,10.7057598
BRATTLIA,Hele,05.05.2023,07.00-19.00,59.9138688,10.7522454
BREDES VEI,Hele,26.04.2023,07.00-19.00,59.9427184,10.933723
BREDO STABELLS VEI,Hele,03.05.2023,07.00-19.00,59.9429734,10.7450898
BREDTVETVEIEN,Hele,19.04.2023,07.00-19.00,59.9469867,10.8601892
BREGNEVEIEN,Hele,05.05.2023,07.00-19.00,59.9570253,10.7365923
BREIDABLIKKVEIEN,Hele,14.04.2023,07.00-19.00,59.8584849,10.7869012
BREIENS VEI,Hele,17.04.2023,07.00-19.00,59.8585526,10.8065132
BREIGATA,Lakkegata – Motzfeldts Gt,12.05.2023,07.00-19.00,59.913946,10.7613628
BREISJÅVEIEN,Lørenveien – Sinsenveien,03.05.2023,07.00-19.00,59.9342532,10.7876478
BREKKELIA,,11.05.2023,07.00-19.00,59.961264,10.7666942
BREKKEVEIEN,Hele,04.05.2023,19.00-07.00,59.9688892,10.7711435
BREKKEVEIEN,Hele,09.05.2023,07.00-19.00,59.9688892,10.7711435
BRENNAVEIEN,Hele,28.04.2023,07.00-19.00,59.8465883,10.8418241
BRENNERIVEIEN,Møllerveien – Maridalsveien,12.05.2023,07.00-19.00,59.9204096,10.7526846
BRETTEVILLES GATE,Sandakerveien – Kyrre Grepps Gate,26.04.2023,07.00-19.00,59.9408217,10.7738112
BRINKEN,Åkebergvn – Ende Bak Økernvn 13,15.05.2023,07.00-19.00,59.9116739,10.7788495
BRINKEN,P-Plass/ Kampengata – Snuplassen,15.05.2023,07.00-19.00,59.9116739,10.7788495
BRINKEN,Kampen P-Plass Kjølberggata – Norderhovgata,15.05.2023,07.00-19.00,59.9116739,10.7788495
BRISKEBYVEIEN,Holtegata – Camilla Colletts Gt,13.04.2023,19.00-07.00,59.9210564,10.7166655
BRISKEBYVEIEN,Schives Gate – Holtegata,19.04.2023,07.00-19.00,59.9210564,10.7166655
BROBEKKVEIEN,Statsråd Mahiesen Vei – Refstadveien,12.05.2023,07.00-19.00,59.9341149,10.8269713
BROCHMANNS GATE,Treschows Gate – Maridalsveien,26.04.2023,07.00-19.00,59.9402962,10.7636129
BROCHMANNSLØKKA,Treschows Gt – Badebakken,03.05.2023,07.00-19.00,59.9138688,10.7522454
BROLANDSVEIEN,Hele,08.05.2023,07.00-19.00,59.9500417,10.9359201
BRUNAS VEI,Hele,27.04.2023,07.00-19.00,59.8441616,10.8291714
BRYNJEVEIEN,Hele,09.05.2023,07.00-19.00,59.9647819,10.7564536
BRYNSALLÉEN,Hele,18.04.2023,07.00-19.00,59.9108137,10.8156239
BRYNSENGVEIEN,Hele,18.04.2023,07.00-19.00,59.9110123,10.8143921
BRÅTEN ALLÈEN,Hele,26.04.2023,07.00-19.00,59.866913,10.793775
BUEVEIEN,Hele,28.04.2023,07.00-19.00,59.9452893,10.7932997
BUKKENEBRUSES VEI,Hele,20.04.2023,07.00-19.00,59.9446062,10.7228431
BYGDØY KAPELLVEI,Strømsborgveien - inn til G/S,21.04.2023,07.00-19.00,59.9050734,10.6801639
BYGDØY KAPELLVEI,Huk Aveny – Bom/Gangvei,08.05.2023,07.00-19.00,59.9050734,10.6801639
BYGDØY TERASSE,Bygdøy Kapellvei – Fredriksborgveien,08.05.2023,07.00-19.00,59.9032399,10.6805851
BYGDØYNESVEIEN,Hele,21.04.2023,07.00-19.00,59.9023605,10.6922501
BYGDØYVEIEN,Hele,21.04.2023,07.00-19.00,59.9134984,10.6808569
BYGGVEIEN,Hele,19.04.2023,19.00-07.00,59.8958541,10.8097477
BÅHUSVEIEN,Trondheimsveien – Breisjåveien,02.05.2023,07.00-19.00,59.9325786,10.7827508
BÅHUSVEIEN,Sinsen P-Plass Bjørn Stallares Vei – Båhusveien,02.05.2023,07.00-19.00,59.9325786,10.7827508
BÅLVEIEN,Hele,08.05.2023,07.00-19.00,59.9612987,10.7502409
BÅNKALLSTUBBEN,Hele,28.04.2023,07.00-19.00,59.9725537,10.9203064
BÅRD SKOLEMESTERS VEI,Hele,15.05.2023,07.00-19.00,59.9449502,10.8112996
BÆRUMVEIEN,Vækerøveien-Fylkes grensa,04.05.2023,19.00-07.00,59.9259393,10.6300052
BØLERBAKKEN,Hele,04.05.2023,07.00-19.00,59.8848832,10.8454559
BØLERLIA,Hele,28.04.2023,07.00-19.00,59.8794153,10.8525106
BØLERSKOGEN,Hele,28.04.2023,07.00-19.00,59.8799066,10.8494461
BØLERSKRENTEN,Hele,04.05.2023,07.00-19.00,59.8810706,10.8427291
BØLERSLETTA,Hele,04.05.2023,07.00-19.00,59.885254,10.8440159
BØLERSVINGEN,Hele,28.04.2023,07.00-19.00,59.8871693,10.839581
BØLERVEIEN,Hele,28.04.2023,07.00-19.00,59.8864258,10.8412663
BØRRESTUVEIEN,Hele,18.04.2023,07.00-19.00,59.9447123,10.7125176
C.A. PIHLS GATE,Drammensveien – Tostrups Gate,17.04.2023,07.00-19.00,59.9166556,10.7010561
C.A.TORSTENSENS VEI,Hele,25.04.2023,07.00-19.00,59.9376168,10.6780976
CALMEYERS GATE,Hausmanns Gate – Youngs Gt,11.05.2023,19.00-07.00,59.9158829,10.7534041
CAMILLA COLLETTS VEI,Riddervolds Plass – Uranienborgveien,13.04.2023,19.00-07.00,59.9202337,10.7215262
CAPPELENS VEI,Hele,14.04.2023,07.00-19.00,59.871456,10.7882863
CARL GRØNDAHLS VEI,Hele,03.05.2023,07.00-19.00,59.9467573,10.7520339
CARL JEPPESENS GATE,Hans Nielsen Hauges Gate– Ende,04.05.2023,07.00-19.00,59.9394225,10.7723728
CARL KJELSENS VEI,Maridalsveien- Sognsveien,25.04.2023,19.00-07.00,59.9604191,10.7502174
CASPAR STORMS VEI,Hele,10.05.2023,07.00-19.00,59.9199988,10.825685
CASPARIS GATE,Wdm. Thranes Gate – Akersbakken,24.04.2023,07.00-19.00,59.9263052,10.7478166
